Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,SedentaryMinutes,Calories,IsWeekend
6117666160,2016-04-20,10449,8.02000045776367,26,10,587,2536,False
1644430081,2016-04-13,8001,5.82000017166138,30,16,1259,2902,False
1927972279,2016-04-25,152,0.109999999403954,0,0,1303,2100,False
6117666160,2016-04-26,9543,7.21000003814697,0,7,1077,2450,False
4388161847,2016-05-09,10218,7.8600001335144,6,19,1020,3013,False
6775888955,2016-04-28,703,0.5,2,13,1410,1993,False
4319703577,2016-04-13,8204,5.5,8,15,1234,2135,False
2873212765,2016-05-03,7412,4.98000001907349,1,6,1070,1906,False
4445114986,2016-04-13,2961,1.99000000953674,0,0,840,2095,False
6290855005,2016-05-08,7706,5.82999992370605,0,0,1189,2712,True
3977333714,2016-04-30,13238,9.19999980926514,43,52,687,1650,True
1503960366,2016-05-05,14070,8.89999961853027,45,24,857,1959,False
1927972279,2016-04-28,1675,1.1599999666214,0,0,1167,2351,False
4558609924,2016-05-01,3428,2.26999998092651,0,0,1121,1692,True
8253242879,2016-04-27,10232,8.18000030517578,45,5,1286,2008,False
6962181067,2016-04-28,12627,8.35000038146973,38,8,621,2182,False
1503960366,2016-05-12,0,0.0,0,0,1440,0,False
6117666160,2016-05-06,3365,2.6800000667572,0,0,673,1838,False
4558609924,2016-05-07,8237,5.44000005722046,23,16,1116,1973,True
3977333714,2016-04-24,14112,10.0,30,95,660,1655,True
6962181067,2016-04-19,10742,7.09999990463257,35,41,659,2046,False
2022484408,2016-05-02,10379,7.28999996185303,36,8,1119,2473,False
1624580081,2016-04-20,4974,3.23000001907349,0,0,1289,1446,False
4558609924,2016-05-05,10611,7.01000022888184,14,8,1048,2262,False
2347167796,2016-04-12,10113,6.82999992370605,28,13,964,2344,False
4020332650,2016-05-03,4496,3.22000002861023,0,0,950,2828,False
1644430081,2016-05-06,9787,7.11999988555908,11,6,1054,3328,False
2026352035,2016-05-07,4193,2.59999990463257,0,0,665,1491,True
1644430081,2016-04-20,2436,1.76999998092651,0,0,1315,2430,False
2022484408,2016-04-23,6001,4.21000003814697,0,0,1191,2069,True
3977333714,2016-04-23,12058,8.06999969482422,0,92,724,1638,True
2022484408,2016-04-16,10100,7.09000015258789,41,11,1237,2177,True
6290855005,2016-04-23,0,0.0,33,0,1407,2664,True
4445114986,2016-04-20,2072,1.38999998569489,0,0,841,1974,False
4020332650,2016-04-18,62,0.0399999991059303,0,0,1438,1995,False
8378563200,2016-05-07,4468,3.53999996185303,0,0,851,2799,True
6117666160,2016-04-19,11135,8.40999984741211,0,0,425,2606,False
6117666160,2016-04-13,0,0.0,0,0,1440,1496,False
1644430081,2016-04-26,9919,7.21000003814697,11,41,1165,3123,False
4445114986,2016-05-06,4514,3.02999997138977,0,0,809,2211,False
5577150313,2016-05-05,7550,5.6399998664856,45,21,1153,3004,False
8583815059,2016-04-20,5273,4.1100001335144,0,27,1246,2647,False
2347167796,2016-04-19,6711,4.44000005722046,0,7,648,2346,False
4388161847,2016-04-23,13236,10.1800003051758,58,5,749,3306,True
5577150313,2016-05-10,8869,6.65000009536743,104,37,639,3841,False
1844505072,2016-04-27,4,0.0,0,0,1439,1348,False
8253242879,2016-04-20,6466,4.26999998092651,5,18,1201,1931,False
4702921684,2016-05-12,2752,2.23000001907349,0,0,241,1240,False
8583815059,2016-05-06,5843,4.55999994277954,2,22,1250,2683,False
7007744171,2016-04-23,8093,5.40999984741211,2,25,1190,2284,True
7086361926,2016-04-24,3520,2.16000008583069,0,0,566,2049,True
6117666160,2016-04-14,0,0.0,0,0,1440,1496,False
6290855005,2016-05-09,6277,4.75,0,0,800,2175,False
6290855005,2016-04-18,6885,5.21000003814697,0,0,1169,2766,False
3372868164,2016-04-25,5995,4.09000015258789,0,0,1024,2010,False
8877689391,2016-04-28,14890,11.3000001907349,58,8,1143,3060,False
2022484408,2016-04-26,10119,7.19000005722046,55,24,1086,2793,False
1844505072,2016-04-16,3414,2.25999999046326,0,0,1293,1657,True
3977333714,2016-04-15,9010,6.05999994277954,15,42,644,1468,False
3977333714,2016-04-19,12414,8.77999973297119,19,67,738,1638,False
6775888955,2016-05-06,4697,3.36999988555908,12,35,1318,2496,False
4702921684,2016-04-28,9023,7.32000017166138,14,9,738,3033,False
2026352035,2016-05-06,8198,5.07999992370605,0,0,511,1736,False
1644430081,2016-04-17,8757,6.36999988555908,29,13,1212,3011,True
3977333714,2016-04-29,10645,7.75,36,32,744,1545,False
8792009665,2016-04-15,2483,1.5900000333786,0,0,937,2009,False
2347167796,2016-04-15,10465,6.92000007629395,1,24,720,2133,False
4057192912,2016-04-12,5394,4.03000020980835,0,0,1276,2286,False
3372868164,2016-04-26,8283,5.78999996185303,22,2,1083,2057,False
6775888955,2016-04-30,2503,1.78999996185303,3,9,1344,2280,True
4558609924,2016-05-02,7891,5.21999979019165,0,0,1057,2066,False
5577150313,2016-04-14,8596,6.42000007629395,118,30,662,4022,False
2873212765,2016-05-07,4940,3.38000011444092,75,11,1302,1897,True
4558609924,2016-05-03,5267,3.48000001907349,21,10,1172,1953,False
5577150313,2016-04-27,6805,5.1399998664856,63,16,773,3294,False
4702921684,2016-04-25,9167,7.42999982833862,6,15,730,3064,False
6775888955,2016-04-22,637,0.46000000834465,0,0,1420,1922,False
2320127002,2016-05-05,5202,3.50999999046326,0,11,1206,1780,False
6962181067,2016-05-12,3587,2.36999988555908,0,8,127,928,False
4020332650,2016-04-21,0,0.0,0,0,1440,1980,False
8877689391,2016-04-22,18258,16.3099994659424,61,2,1141,3427,False
1644430081,2016-04-22,3673,2.67000007629395,0,0,1354,2344,False
8877689391,2016-05-08,10686,8.10999965667725,17,4,1174,2847,True
